selection_scope,outer_fold,embedding,config_id,n_estimators,forest_params,max_depth,min_samples_leaf,max_features,class_weight,mean_inner_average_precision,inner_average_precision_0,inner_average_precision_1,inner_average_precision_2,inner_rows,selection_rank
outer_fold,1,a,rf_05,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,sqrt,balanced,0.954369408110892,0.9596182837613095,0.9518620743410576,0.9516278662303088,722,32
outer_fold,1,a,rf_06,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,0.1,None,0.9502616943307803,0.9485502443041525,0.9522076388592927,0.9500271998288963,722,46
outer_fold,1,a,rf_07,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,0.1,balanced,0.9488968061205928,0.9526387051494262,0.9466275114618871,0.9474242017504649,722,52
outer_fold,1,a,rf_08,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,sqrt,None,0.9520819755729412,0.9539169324659346,0.9516487731333406,0.9506802211195481,722,40
outer_fold,1,a,rf_09,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,sqrt,balanced,0.9530542230895894,0.9619208626763918,0.9524122663649315,0.9448295402274451,722,35
outer_fold,1,a,rf_10,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,0.1,None,0.9536771976292843,0.9552242877455086,0.9515819389932507,0.9542253661490935,722,33
outer_fold,1,a,rf_11,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,0.1,balanced,0.9555723537587779,0.959685092574589,0.954286954157165,0.9527450145445795,722,27
outer_fold,1,a,rf_12,200,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,sqrt,None,0.9472673078477235,0.9532016533104406,0.9428934470919313,0.9457068231407987,722,59
outer_fold,1,a,rf_13,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,sqrt,balanced,0.9452831038232183,0.9499097211165719,0.939985170044186,0.9459544203088969,722,64
outer_fold,1,a,rf_14,200,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,0.1,None,0.9445441871925467,0.9481166605213672,0.9377470541831484,0.9477688468731242,722,67
outer_fold,1,a,rf_15,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,0.1,balanced,0.945726940238775,0.9509750164115811,0.9427775554681683,0.9434282488365756,722,61
outer_fold,1,a,rf_16,200,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,sqrt,None,0.9503806907824891,0.9519092958365817,0.9551159229574071,0.9441168535534789,722,45
