selection_scope,outer_fold,embedding,C,class_weight,mean_inner_average_precision,inner_average_precision_0,inner_average_precision_1,inner_average_precision_2,inner_rows,selection_rank
outer_fold,1,b,0.01,balanced,0.9447522412134041,0.9498643511765318,0.9447954605526715,0.9395969119110088,722,19
outer_fold,1,b,0.1,None,0.9517002603915126,0.958411484625306,0.9497581579433488,0.9469311386058827,722,17
outer_fold,1,b,0.1,balanced,0.9519819638631741,0.9593406184374756,0.9494163025830793,0.9471889705689678,722,16
outer_fold,1,b,1.0,None,0.9615621768962378,0.9714371779472925,0.956666419763772,0.956582932977649,722,10
outer_fold,1,b,1.0,balanced,0.962281110394554,0.9722756420778818,0.956963081896138,0.9576046072096424,722,9
outer_fold,1,b,10.0,None,0.9672980022397301,0.9768590289037474,0.9620759919365249,0.9629589858789177,722,2
outer_fold,1,b,10.0,balanced,0.9674153043372042,0.9770932116282983,0.962340323607729,0.9628123777755854,722,1
outer_fold,1,b,100.0,None,0.963414072866045,0.9759194333903237,0.9518218742966653,0.9625009109111461,722,7
outer_fold,1,b,100.0,balanced,0.9630260815766535,0.9754072661195303,0.9509845158350554,0.9626864627753746,722,8
outer_fold,1,c,0.01,None,0.9369455829480691,0.9403610412047245,0.9379506560014073,0.9325250516380756,722,28
outer_fold,1,c,0.01,balanced,0.937272633278798,0.9405908846336619,0.9385482077174019,0.9326788074853299,722,27
outer_fold,1,c,0.1,None,0.9429613608704517,0.9450303300759348,0.9476275251874968,0.9362262273479234,722,22
outer_fold,1,c,0.1,balanced,0.9437529966926216,0.9456384220801777,0.9482241645107428,0.9373964034869443,722,21
outer_fold,1,c,1.0,None,0.9579485237401816,0.956773642099686,0.965197117486823,0.9518748116340356,722,12
outer_fold,1,c,1.0,balanced,0.9587862449958426,0.9572063866256348,0.9662157694202814,0.9529365789416119,722,11
outer_fold,1,c,10.0,None,0.9656675031315082,0.9596210406325059,0.9755496716276297,0.961831797134389,722,3
outer_fold,1,c,10.0,balanced,0.9655051262724098,0.9594812064406918,0.9752339233899081,0.9618002489866297,722,4
outer_fold,1,c,100.0,None,0.9649842396642896,0.9561296827938928,0.9742468723880021,0.9645761638109736,722,6
outer_fold,1,c,100.0,balanced,0.9654663298755052,0.9590573542507775,0.9740853008409627,0.9632563345347753,722,5
outer_fold,2,a,0.01,None,0.9376233215636107,0.9211606645250408,0.9590821557709182,0.9326271443948735,723,24
outer_fold,2,a,0.01,balanced,0.9375017575370804,0.9207570353148993,0.9590795728161705,0.9326686644801716,723,25
outer_fold,2,a,0.1,None,0.9397243144233248,0.9243608699767196,0.9599077792874884,0.9349042940057665,723,22
outer_fold,2,a,0.1,balanced,0.9398493812802654,0.9244198018613603,0.9603818094538419,0.9347465325255944,723,21
outer_fold,2,a,1.0,None,0.9440926037958968,0.9286809369164982,0.9627743926368287,0.9408224818343633,723,18
outer_fold,2,a,1.0,balanced,0.9449731661273857,0.9298971117863996,0.9634340508237468,0.9415883357720108,723,17
outer_fold,2,a,10.0,None,0.941842424221646,0.9298420121275334,0.960272266147341,0.9354129943900638,723,20
outer_fold,2,a,10.0,balanced,0.9421144600632321,0.9288135577649042,0.9610806252533068,0.9364491971714854,723,19
outer_fold,2,a,100.0,None,0.9282193977738943,0.9179529956791826,0.948997472519153,0.9177077251233472,723,29
outer_fold,2,a,100.0,balanced,0.9278620894396061,0.9155396917806283,0.9491332344981349,0.918913342040055,723,30
outer_fold,2,b,0.01,None,0.9463135890261943,0.9419268505951489,0.9663449383086928,0.9306689781747409,723,16
outer_fold,2,b,0.01,balanced,0.946504135753,0.9418862664575715,0.9665635799768006,0.9310625608246281,723,15
outer_fold,2,b,0.1,None,0.9528798406083737,0.948383843115068,0.9695741783322421,0.9406815003778108,723,13
