threshold,accuracy,macro_f1,precision,relevant_recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,feasible_recall_first,selected_default_0_5,selected_balanced_macro_f1,selected_recall_first
0.9880109429359436,0.7464008859357697,0.746395909702438,0.97953216374269,0.6014362657091562,0.9797687861271677,335,339,7,222,105,334,0.6856287425149701,0.3787375415282392,342,False,False,False,False
0.9880214929580688,0.7475083056478405,0.7475005641513692,0.9824046920821115,0.6014362657091562,0.9826589595375722,335,340,6,222,105,334,0.6856287425149701,0.37763012181616834,341,False,False,False,False
0.9882100820541382,0.7464008859357697,0.7463896891361377,0.9823529411764705,0.599640933572711,0.9826589595375722,334,340,6,223,106,334,0.6826347305389222,0.37652270210409744,340,False,False,False,False
0.9887651205062866,0.7452934662236987,0.7452781593406593,0.9823008849557522,0.5978456014362658,0.9826589595375722,333,340,6,224,107,334,0.6796407185628742,0.3754152823920266,339,False,False,False,False
0.988869309425354,0.7441860465116279,0.7441659665540354,0.9822485207100592,0.5960502692998204,0.9826589595375722,332,340,6,225,108,334,0.6766467065868264,0.3743078626799557,338,False,False,False,False
0.9890279769897461,0.743078626799557,0.7430531025550453,0.9821958456973294,0.5942549371633752,0.9826589595375722,331,340,6,226,108,334,0.6766467065868264,0.37320044296788485,337,False,False,False,False
0.9890333414077759,0.7441860465116279,0.7441546701925282,0.9851190476190477,0.5942549371633752,0.9855491329479769,331,341,5,226,108,334,0.6766467065868264,0.37209302325581395,336,False,False,False,False
0.9892884492874146,0.743078626799557,0.7430404961191628,0.9850746268656716,0.59245960502693,0.9855491329479769,330,341,5,227,109,334,0.6736526946107785,0.3709856035437431,335,False,False,False,False
0.9893548488616943,0.7419712070874862,0.7419256315431179,0.9850299401197605,0.5906642728904847,0.9855491329479769,329,341,5,228,109,334,0.6736526946107785,0.3698781838316722,334,False,False,False,False
0.9894352555274963,0.743078626799557,0.7430253667631618,0.987987987987988,0.5906642728904847,0.9884393063583815,329,342,4,228,109,334,0.6736526946107785,0.3687707641196013,333,False,False,False,False
0.9895384311676025,0.7419712070874862,0.7419091697507277,0.9879518072289156,0.5888689407540395,0.9884393063583815,328,342,4,229,109,334,0.6736526946107785,0.36766334440753046,332,False,False,False,False
0.9895423650741577,0.7408637873754153,0.7407922628510863,0.9879154078549849,0.5870736086175943,0.9884393063583815,327,342,4,230,110,334,0.6706586826347305,0.36655592469545956,331,False,False,False,False
0.9896882176399231,0.7397563676633444,0.7396746377673884,0.9878787878787879,0.585278276481149,0.9884393063583815,326,342,4,231,111,334,0.6676646706586826,0.3654485049833887,330,False,False,False,False
0.9897664189338684,0.7386489479512736,0.7385562861909902,0.9878419452887538,0.5834829443447038,0.9884393063583815,325,342,4,232,112,334,0.6646706586826348,0.3643410852713178,329,False,False,False,False
0.9898200631141663,0.7375415282392026,0.7374371998012477,0.9878048780487805,0.5816876122082585,0.9884393063583815,324,342,4,233,113,334,0.6616766467065869,0.36323366555924697,328,False,False,False,False
